model_name,accuracy
model_45_45.pth,0.896
model_45_46.pth,1.0
model_45_47.pth,0.998
model_45_48.pth,0.999
model_45_49.pth,0.999
model_45_50.pth,0.999
model_45_51.pth,0.999
model_45_52.pth,0.887
model_45_53.pth,0.998
model_45_54.pth,0.999
model_45_55.pth,1.0
model_45_56.pth,0.886
model_45_57.pth,1.0
model_45_58.pth,1.0
model_45_59.pth,0.999
model_45_60.pth,1.0
model_45_61.pth,0.848
model_45_62.pth,0.898
model_45_63.pth,0.999
model_45_64.pth,0.878
model_45_65.pth,0.895
model_45_66.pth,0.999
model_45_67.pth,0.895
model_45_68.pth,0.999
model_45_69.pth,0.999
model_45_70.pth,0.999
model_45_71.pth,0.999
model_45_72.pth,0.999
model_45_73.pth,0.898
model_45_74.pth,1.0
model_45_75.pth,1.0
model_45_76.pth,0.999
model_45_77.pth,0.999
model_45_78.pth,0.997
model_45_79.pth,0.999
model_45_80.pth,0.999
model_45_81.pth,0.896
model_45_82.pth,1.0
model_45_83.pth,0.998
model_45_84.pth,0.999
model_45_85.pth,0.999
model_45_86.pth,0.999
model_45_87.pth,0.999
model_45_88.pth,0.997
model_45_89.pth,0.997
model_45_90.pth,0.997
model_45_91.pth,0.999
model_45_92.pth,1.0
model_45_93.pth,0.999
model_45_94.pth,0.999
model_45_95.pth,0.998
model_45_96.pth,0.999
model_45_97.pth,0.997
model_45_98.pth,0.999
model_45_99.pth,0.999
model_45_100.pth,0.876
model_45_101.pth,0.877
model_45_102.pth,0.999
model_45_103.pth,0.999
model_45_104.pth,0.999
model_45_105.pth,0.999
model_45_106.pth,0.999
model_45_107.pth,0.905
model_45_108.pth,0.878
model_45_109.pth,0.999
model_45_110.pth,0.997
model_45_111.pth,1.0
model_45_112.pth,0.999
model_45_113.pth,0.999
model_45_114.pth,0.999
model_45_115.pth,0.999
model_45_116.pth,0.998
model_45_117.pth,0.998
model_45_118.pth,0.999
model_45_119.pth,0.999
model_45_120.pth,0.999
model_45_121.pth,0.999
model_45_122.pth,1.0
model_45_123.pth,1.0
model_45_124.pth,1.0
model_45_125.pth,0.903
model_45_126.pth,0.999
model_45_127.pth,1.0
model_45_128.pth,0.998
model_45_129.pth,0.999
model_45_130.pth,0.997
model_45_131.pth,0.993
model_45_132.pth,0.999
model_45_133.pth,0.905
model_45_134.pth,0.999
model_45_135.pth,1.0
model_45_136.pth,0.999
model_45_137.pth,0.999
model_45_138.pth,0.996
model_45_139.pth,0.995
model_45_140.pth,0.999
model_45_141.pth,0.999
model_45_142.pth,1.0
model_45_143.pth,0.999
model_45_144.pth,0.997
model_45_145.pth,1.0
model_45_146.pth,0.998
model_45_147.pth,0.904
model_45_148.pth,0.998
model_45_149.pth,0.999
model_45_150.pth,1.0
model_45_151.pth,1.0
model_45_152.pth,0.997
model_45_153.pth,0.997
model_45_154.pth,0.999
model_45_155.pth,0.998
model_45_156.pth,0.999
model_45_157.pth,0.999
model_45_158.pth,0.999
model_45_159.pth,0.884
model_45_160.pth,1.0
model_45_161.pth,0.999
model_45_162.pth,1.0
model_45_163.pth,0.999
model_45_164.pth,0.999
model_45_165.pth,0.999
model_45_166.pth,1.0
model_45_167.pth,1.0
model_45_168.pth,1.0
model_45_169.pth,0.997
model_45_170.pth,1.0
model_45_171.pth,1.0
model_45_172.pth,0.999
model_45_173.pth,1.0
model_45_174.pth,1.0
model_45_175.pth,0.858
model_45_176.pth,0.998
model_45_177.pth,0.997
model_45_178.pth,0.897
model_45_179.pth,1.0
model_45_180.pth,0.864
model_45_181.pth,0.905
model_45_182.pth,0.999
model_45_183.pth,0.999
model_45_184.pth,0.999
model_45_185.pth,0.999
model_45_186.pth,0.897
model_45_187.pth,0.999
model_45_188.pth,1.0
model_45_189.pth,0.999
model_45_190.pth,0.999
model_45_191.pth,1.0
model_45_192.pth,1.0
model_45_193.pth,0.897
model_45_194.pth,0.997
model_45_195.pth,0.841
model_45_196.pth,0.903
model_45_197.pth,1.0
model_45_198.pth,0.999
model_45_199.pth,0.999
model_90_0.pth,0.886
model_90_1.pth,0.999
model_90_2.pth,1.0
model_90_3.pth,0.999
model_90_4.pth,0.878
model_90_5.pth,1.0
model_90_6.pth,0.999
model_90_7.pth,0.999
model_90_8.pth,0.999
model_90_9.pth,0.999
model_90_10.pth,0.999
model_90_11.pth,1.0
model_90_12.pth,0.997
model_90_13.pth,1.0
model_90_14.pth,0.999
model_90_15.pth,1.0
model_90_16.pth,0.999
model_90_17.pth,0.999
model_90_18.pth,0.999
model_90_19.pth,0.999
model_90_20.pth,0.999
model_90_21.pth,0.896
model_90_22.pth,0.997
model_90_23.pth,0.999
model_90_24.pth,1.0
model_90_25.pth,0.999
model_90_26.pth,0.999
model_90_27.pth,0.999
model_90_28.pth,0.999
model_90_29.pth,0.999
model_90_30.pth,0.878
model_90_31.pth,1.0
model_90_32.pth,0.999
model_90_33.pth,0.898
model_90_34.pth,1.0
model_90_35.pth,1.0
model_90_36.pth,0.998
model_90_37.pth,0.999
model_90_38.pth,0.999
model_90_39.pth,0.999
model_90_40.pth,0.998
model_90_41.pth,0.998
model_90_42.pth,0.999
model_90_43.pth,0.999
model_90_44.pth,0.878
model_90_45.pth,0.999
model_90_46.pth,1.0
model_90_47.pth,1.0
model_90_48.pth,1.0
model_90_49.pth,0.996
model_90_50.pth,0.999
model_90_51.pth,0.999
model_90_52.pth,1.0
model_90_53.pth,0.998
model_90_54.pth,0.998
model_90_55.pth,0.999
model_90_56.pth,0.999
model_90_57.pth,0.999
model_90_58.pth,0.999
model_90_59.pth,0.999
model_90_60.pth,0.999
model_90_61.pth,0.999
model_90_62.pth,0.997
model_90_63.pth,1.0
model_90_64.pth,0.999
model_90_65.pth,0.999
model_90_66.pth,0.999
model_90_67.pth,0.996
model_90_68.pth,0.999
model_90_69.pth,0.999
model_90_70.pth,0.894
model_90_71.pth,1.0
model_90_72.pth,0.999
model_90_73.pth,0.998
model_90_74.pth,0.999
model_90_75.pth,0.999
model_90_76.pth,0.998
model_90_77.pth,0.999
model_90_78.pth,0.999
model_90_79.pth,0.999
model_90_80.pth,1.0
model_90_81.pth,0.999
model_90_82.pth,0.903
model_90_83.pth,0.999
model_90_84.pth,1.0
model_90_85.pth,1.0
model_90_86.pth,0.999
model_90_87.pth,1.0
model_90_88.pth,1.0
model_90_89.pth,1.0
model_90_90.pth,0.897
model_90_91.pth,0.999
model_90_92.pth,0.999
model_90_93.pth,0.999
model_90_94.pth,0.898
model_90_95.pth,0.999
model_90_96.pth,0.999
model_90_97.pth,0.999
model_90_98.pth,0.997
model_90_99.pth,0.997
model_90_100.pth,0.999
model_90_101.pth,0.999
model_90_102.pth,1.0
model_90_103.pth,0.998
model_90_104.pth,1.0
model_90_105.pth,0.991
model_90_106.pth,0.895
model_90_107.pth,0.999
model_90_108.pth,0.997
model_90_109.pth,0.999
model_90_110.pth,0.895
model_90_111.pth,0.999
model_90_112.pth,1.0
model_90_113.pth,0.998
model_90_114.pth,0.885
model_90_115.pth,0.999
model_90_116.pth,1.0
model_90_117.pth,0.897
model_90_118.pth,0.885
model_90_119.pth,0.997
model_90_120.pth,0.999
model_90_121.pth,0.998
model_90_122.pth,0.999
model_90_123.pth,0.999
model_90_124.pth,1.0
model_90_125.pth,0.999
model_90_126.pth,1.0
model_90_127.pth,0.999
model_90_128.pth,0.999
model_90_129.pth,0.999
model_90_130.pth,0.999
model_90_131.pth,0.999
model_90_132.pth,0.999
model_90_133.pth,0.999
model_90_134.pth,0.886
model_90_135.pth,0.999
model_90_136.pth,0.999
model_90_137.pth,1.0
model_90_138.pth,0.897
model_90_139.pth,1.0
model_90_140.pth,0.999
model_90_141.pth,0.999
model_90_142.pth,0.999
model_90_143.pth,0.999
model_90_144.pth,1.0
model_90_145.pth,0.999
model_90_146.pth,1.0
model_90_147.pth,0.999
model_90_148.pth,1.0
model_90_149.pth,0.999
model_90_150.pth,0.895
model_90_151.pth,0.999
model_90_152.pth,0.999
model_90_153.pth,0.999
model_90_154.pth,0.999
model_90_155.pth,0.999
model_90_156.pth,1.0
model_90_157.pth,1.0
model_90_158.pth,0.999
model_90_159.pth,0.999
model_90_160.pth,0.999
model_90_161.pth,0.997
model_90_162.pth,0.999
model_90_163.pth,0.999
model_90_164.pth,0.997
model_90_165.pth,0.999
model_90_166.pth,0.999
model_90_167.pth,0.999
model_90_168.pth,0.905
model_90_169.pth,0.999
model_90_170.pth,0.999
model_90_171.pth,0.898
model_90_172.pth,1.0
model_90_173.pth,0.998
model_90_174.pth,0.999
model_90_175.pth,0.999
model_90_176.pth,0.999
model_90_177.pth,0.904
model_90_178.pth,0.999
model_90_179.pth,0.999
model_90_180.pth,0.999
model_90_181.pth,0.999
model_90_182.pth,0.999
model_90_183.pth,0.895
model_90_184.pth,0.999
model_90_185.pth,0.999
model_90_186.pth,1.0
model_90_187.pth,1.0
model_90_188.pth,0.994
model_90_189.pth,0.999
model_90_190.pth,0.999
model_90_191.pth,0.999
model_90_192.pth,1.0
model_90_193.pth,0.994
model_90_194.pth,0.999
model_90_195.pth,0.999
model_90_196.pth,0.999
model_90_197.pth,0.999
model_90_198.pth,0.999
model_90_199.pth,0.999
model_135_0.pth,0.999
model_135_1.pth,0.999
model_135_2.pth,0.997
model_135_3.pth,0.851
model_135_4.pth,0.999
model_135_5.pth,0.997
model_135_6.pth,0.999
model_135_7.pth,0.905
model_135_8.pth,0.878
model_135_9.pth,0.999
model_135_10.pth,0.999
model_135_11.pth,0.999
model_135_12.pth,1.0
model_135_13.pth,1.0
model_135_14.pth,0.997
model_135_15.pth,0.999
model_135_16.pth,0.897
model_135_17.pth,0.999
model_135_18.pth,0.999
model_135_19.pth,0.904
model_135_20.pth,0.999
model_135_21.pth,0.993
model_135_22.pth,0.999
model_135_23.pth,1.0
model_135_24.pth,0.998
model_135_25.pth,0.998
model_135_26.pth,0.999
model_135_27.pth,0.999
model_135_28.pth,0.897
model_135_29.pth,0.905
model_135_30.pth,0.906
model_135_31.pth,0.997
model_135_32.pth,1.0
model_135_33.pth,0.999
model_135_34.pth,0.999
model_135_35.pth,0.999
model_135_36.pth,0.878
model_135_37.pth,0.905
model_135_38.pth,0.998
model_135_39.pth,0.996
model_135_40.pth,0.998
model_135_41.pth,0.999
model_135_42.pth,0.998
model_135_43.pth,0.998
model_135_44.pth,0.999
model_135_45.pth,0.999
model_135_46.pth,0.999
model_135_47.pth,0.999
model_135_48.pth,0.999
model_135_49.pth,1.0
model_135_50.pth,0.999
model_135_51.pth,0.999
model_135_52.pth,0.994
model_135_53.pth,0.897
model_135_54.pth,0.998
model_135_55.pth,0.878
model_135_56.pth,0.999
model_135_57.pth,0.905
model_135_58.pth,0.897
model_135_59.pth,0.905
model_135_60.pth,0.999
model_135_61.pth,0.998
model_135_62.pth,0.899
model_135_63.pth,0.999
model_135_64.pth,0.992
model_135_65.pth,0.897
model_135_66.pth,1.0
model_135_67.pth,0.999
model_135_68.pth,0.999
model_135_69.pth,0.886
model_135_70.pth,0.999
model_135_71.pth,0.999
model_135_72.pth,0.998
model_135_73.pth,1.0
model_135_74.pth,0.997
model_135_75.pth,0.999
model_135_76.pth,1.0
model_135_77.pth,0.999
model_135_78.pth,0.897
model_135_79.pth,0.999
model_135_80.pth,0.897
model_135_81.pth,1.0
model_135_82.pth,0.999
model_135_83.pth,0.997
model_135_84.pth,0.999
model_135_85.pth,0.998
model_135_86.pth,0.999
model_135_87.pth,1.0
model_135_88.pth,1.0
model_135_89.pth,1.0
model_135_90.pth,0.999
model_135_91.pth,1.0
model_135_92.pth,0.999
model_135_93.pth,0.997
model_135_94.pth,0.992
model_135_95.pth,0.995
model_135_96.pth,1.0
model_135_97.pth,0.992
model_135_98.pth,0.878
model_135_99.pth,0.999
model_135_100.pth,0.999
model_135_101.pth,0.992
model_135_102.pth,0.999
model_135_103.pth,0.999
model_135_104.pth,0.999
model_135_105.pth,0.999
model_135_106.pth,1.0
model_135_107.pth,0.999
model_135_108.pth,0.999
model_135_109.pth,0.898
model_135_110.pth,0.997
model_135_111.pth,0.885
model_135_112.pth,0.999
model_135_113.pth,0.905
model_135_114.pth,0.999
model_135_115.pth,0.999
model_135_116.pth,1.0
model_135_117.pth,1.0
model_135_118.pth,0.9
model_135_119.pth,0.999
model_135_120.pth,0.895
model_135_121.pth,0.998
model_135_122.pth,0.997
model_135_123.pth,0.997
model_135_124.pth,0.999
model_135_125.pth,0.999
model_135_126.pth,0.901
model_135_127.pth,0.999
model_135_128.pth,0.997
model_135_129.pth,1.0
model_135_130.pth,0.999
model_135_131.pth,0.999
model_135_132.pth,0.998
model_135_133.pth,0.881
model_135_134.pth,0.999
model_135_135.pth,0.999
model_135_136.pth,0.999
model_135_137.pth,0.996
model_135_138.pth,0.997
model_135_139.pth,1.0
model_135_140.pth,0.905
model_135_141.pth,0.999
model_135_142.pth,0.999
model_135_143.pth,0.997
model_135_144.pth,0.997
model_135_145.pth,0.897
model_135_146.pth,0.995
model_135_147.pth,1.0
model_135_148.pth,0.999
model_135_149.pth,0.999
model_135_150.pth,0.999
model_135_151.pth,0.998
model_135_152.pth,1.0
model_135_153.pth,1.0
model_135_154.pth,0.997
model_135_155.pth,0.999
model_135_156.pth,0.999
model_135_157.pth,0.999
model_135_158.pth,0.999
model_135_159.pth,0.999
model_135_160.pth,0.999
model_135_161.pth,1.0
model_135_162.pth,0.998
model_135_163.pth,0.999
model_135_164.pth,0.998
model_135_165.pth,0.994
model_135_166.pth,0.885
model_135_167.pth,0.999
model_135_168.pth,0.999
model_135_169.pth,0.997
model_135_170.pth,1.0
model_135_171.pth,0.897
model_135_172.pth,0.999
model_135_173.pth,0.999
model_135_174.pth,0.998
model_135_175.pth,0.999
model_135_176.pth,1.0
model_135_177.pth,0.999
model_135_178.pth,0.999
model_135_179.pth,0.999
model_135_180.pth,0.884
model_135_181.pth,0.999
model_135_182.pth,0.999
model_135_183.pth,0.999
model_135_184.pth,0.999
model_135_185.pth,1.0
model_135_186.pth,0.995
model_135_187.pth,0.898
model_135_188.pth,0.9
model_135_189.pth,0.999
model_135_190.pth,0.998
model_135_191.pth,1.0
model_135_192.pth,0.998
model_135_193.pth,1.0
model_135_194.pth,0.898
model_135_195.pth,0.997
model_135_196.pth,0.999
model_135_197.pth,1.0
model_135_198.pth,0.899
model_135_199.pth,0.999
model_180_0.pth,0.999
model_180_1.pth,0.999
model_180_2.pth,0.895
model_180_3.pth,0.999
model_180_4.pth,1.0
model_180_5.pth,1.0
model_180_6.pth,0.999
model_180_7.pth,0.999
model_180_8.pth,0.89
model_180_9.pth,1.0
model_180_10.pth,1.0
model_180_11.pth,0.997
model_180_12.pth,1.0
model_180_13.pth,0.999
model_180_14.pth,0.999
model_180_15.pth,1.0
model_180_16.pth,0.999
model_180_17.pth,0.998
model_180_18.pth,0.999
model_180_19.pth,0.999
model_180_20.pth,0.999
model_180_21.pth,0.999
model_180_22.pth,0.996
model_180_23.pth,0.999
model_180_24.pth,0.999
model_180_25.pth,1.0
model_180_26.pth,1.0
model_180_27.pth,0.902
model_180_28.pth,1.0
model_180_29.pth,0.998
model_180_30.pth,0.999
model_180_31.pth,1.0
model_180_32.pth,0.999
model_180_33.pth,0.999
model_180_34.pth,0.905
model_180_35.pth,0.885
model_180_36.pth,0.999
model_180_37.pth,1.0
model_180_38.pth,0.999
model_180_39.pth,0.886
model_180_40.pth,0.999
model_180_41.pth,0.999
model_180_42.pth,1.0
model_180_43.pth,0.998
model_180_44.pth,0.999
model_180_45.pth,0.999
model_180_46.pth,0.904
model_180_47.pth,0.999
model_180_48.pth,0.999
model_180_49.pth,0.999
model_180_50.pth,0.998
model_180_51.pth,0.898
model_180_52.pth,0.999
model_180_53.pth,0.847
model_180_54.pth,0.999
model_180_55.pth,1.0
model_180_56.pth,0.999
model_180_57.pth,0.997
model_180_58.pth,0.9
model_180_59.pth,0.999
model_180_60.pth,0.997
model_180_61.pth,1.0
model_180_62.pth,0.999
model_180_63.pth,0.996
model_180_64.pth,0.999
model_180_65.pth,0.998
model_180_66.pth,0.999
model_180_67.pth,0.999
model_180_68.pth,0.999
model_180_69.pth,0.999
model_180_70.pth,1.0
model_180_71.pth,0.999
model_180_72.pth,0.999
model_180_73.pth,0.999
model_180_74.pth,0.997
model_180_75.pth,0.999
model_180_76.pth,1.0
model_180_77.pth,0.999
model_180_78.pth,0.999
model_180_79.pth,0.999
model_180_80.pth,0.998
model_180_81.pth,0.999
model_180_82.pth,0.999
model_180_83.pth,0.999
model_180_84.pth,0.999
model_180_85.pth,0.999
model_180_86.pth,0.903
model_180_87.pth,0.999
model_180_88.pth,0.999
model_180_89.pth,0.999
model_180_90.pth,0.999
model_180_91.pth,0.999
model_180_92.pth,1.0
model_180_93.pth,1.0
model_180_94.pth,0.999
model_180_95.pth,0.998
model_180_96.pth,1.0
model_180_97.pth,1.0
model_180_98.pth,1.0
model_180_99.pth,0.998
model_180_100.pth,0.999
model_180_101.pth,0.999
model_180_102.pth,0.999
model_180_103.pth,0.905
model_180_104.pth,0.999
model_180_105.pth,0.894
model_180_106.pth,0.999
model_180_107.pth,0.902
model_180_108.pth,0.996
model_180_109.pth,0.999
model_180_110.pth,0.999
model_180_111.pth,0.999
model_180_112.pth,0.902
model_180_113.pth,0.999
model_180_114.pth,0.903
model_180_115.pth,0.999
model_180_116.pth,0.999
model_180_117.pth,1.0
model_180_118.pth,0.999
model_180_119.pth,1.0
model_180_120.pth,0.999
model_180_121.pth,0.999
model_180_122.pth,1.0
model_180_123.pth,0.998
model_180_124.pth,1.0
model_180_125.pth,0.999
model_180_126.pth,0.999
model_180_127.pth,0.999
model_180_128.pth,0.999
model_180_129.pth,0.999
model_180_130.pth,0.886
model_180_131.pth,0.886
model_180_132.pth,0.992
model_180_133.pth,0.999
model_180_134.pth,0.998
model_180_135.pth,0.999
model_180_136.pth,0.999
model_180_137.pth,0.896
model_180_138.pth,0.999
model_180_139.pth,1.0
model_180_140.pth,0.999
model_180_141.pth,0.995
model_180_142.pth,0.999
model_180_143.pth,1.0
model_180_144.pth,0.999
model_180_145.pth,0.999
model_180_146.pth,0.999
model_180_147.pth,1.0
